image_path,label,class_name
data\gameplay-images\Fortnite\image_118.png,2,Fortnite
data\gameplay-images\Apex Legends\image_841.png,1,Apex Legends
data\gameplay-images\Terraria\image_279.png,9,Terraria
data\gameplay-images\Genshin Impact\image_66.png,5,Genshin Impact
data\gameplay-images\Forza Horizon\image_372.png,3,Forza Horizon
data\gameplay-images\Apex Legends\image_264.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_754.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_31.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_882.png,1,Apex Legends
data\gameplay-images\Free Fire\image_293.png,4,Free Fire
data\gameplay-images\Fortnite\image_882.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_652.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_927.png,4,Free Fire
data\gameplay-images\Roblox\image_240.png,8,Roblox
data\gameplay-images\Fortnite\image_347.png,2,Fortnite
data\gameplay-images\Among Us\image_309.png,0,Among Us
data\gameplay-images\Terraria\image_1001.png,9,Terraria
data\gameplay-images\Minecraft\image_825.png,7,Minecraft
data\gameplay-images\Roblox\image_684.png,8,Roblox
data\gameplay-images\Fortnite\image_15.png,2,Fortnite
data\gameplay-images\Apex Legends\image_493.png,1,Apex Legends
data\gameplay-images\Terraria\image_554.png,9,Terraria
data\gameplay-images\Apex Legends\image_748.png,1,Apex Legends
data\gameplay-images\Forza Horizon\image_969.png,3,Forza Horizon
data\gameplay-images\Terraria\image_569.png,9,Terraria
data\gameplay-images\Free Fire\image_25.png,4,Free Fire
data\gameplay-images\Fortnite\image_734.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_134.png,3,Forza Horizon
data\gameplay-images\Fortnite\image_855.png,2,Fortnite
data\gameplay-images\God of War\image_377.png,6,God of War
data\gameplay-images\God of War\image_715.png,6,God of War
data\gameplay-images\Apex Legends\image_672.png,1,Apex Legends
data\gameplay-images\Fortnite\image_849.png,2,Fortnite
data\gameplay-images\Free Fire\image_605.png,4,Free Fire
data\gameplay-images\Fortnite\image_19.png,2,Fortnite
data\gameplay-images\Roblox\image_131.png,8,Roblox
data\gameplay-images\Forza Horizon\image_320.png,3,Forza Horizon
data\gameplay-images\Among Us\image_64.png,0,Among Us
data\gameplay-images\Among Us\image_332.png,0,Among Us
data\gameplay-images\Fortnite\image_359.png,2,Fortnite
data\gameplay-images\Free Fire\image_564.png,4,Free Fire
data\gameplay-images\Fortnite\image_802.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_396.png,3,Forza Horizon
data\gameplay-images\Among Us\image_359.png,0,Among Us
data\gameplay-images\Genshin Impact\image_686.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_17.png,1,Apex Legends
data\gameplay-images\God of War\image_883.png,6,God of War
data\gameplay-images\Minecraft\image_595.png,7,Minecraft
data\gameplay-images\Apex Legends\image_275.png,1,Apex Legends
data\gameplay-images\Fortnite\image_116.png,2,Fortnite
data\gameplay-images\Fortnite\image_3.png,2,Fortnite
data\gameplay-images\Among Us\image_273.png,0,Among Us
data\gameplay-images\Genshin Impact\image_149.png,5,Genshin Impact
data\gameplay-images\Roblox\image_382.png,8,Roblox
data\gameplay-images\Minecraft\image_691.png,7,Minecraft
data\gameplay-images\Genshin Impact\image_47.png,5,Genshin Impact
data\gameplay-images\Terraria\image_98.png,9,Terraria
data\gameplay-images\Minecraft\image_739.png,7,Minecraft
data\gameplay-images\Roblox\image_79.png,8,Roblox
data\gameplay-images\Fortnite\image_637.png,2,Fortnite
data\gameplay-images\Terraria\image_882.png,9,Terraria
data\gameplay-images\Among Us\image_741.png,0,Among Us
data\gameplay-images\Apex Legends\image_26.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_236.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_293.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_566.png,5,Genshin Impact
data\gameplay-images\Among Us\image_742.png,0,Among Us
data\gameplay-images\Fortnite\image_429.png,2,Fortnite
data\gameplay-images\Terraria\image_323.png,9,Terraria
data\gameplay-images\Among Us\image_635.png,0,Among Us
data\gameplay-images\God of War\image_453.png,6,God of War
data\gameplay-images\Roblox\image_631.png,8,Roblox
data\gameplay-images\Genshin Impact\image_44.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_897.png,4,Free Fire
data\gameplay-images\Terraria\image_187.png,9,Terraria
data\gameplay-images\Forza Horizon\image_964.png,3,Forza Horizon
data\gameplay-images\Among Us\image_141.png,0,Among Us
data\gameplay-images\Free Fire\image_403.png,4,Free Fire
data\gameplay-images\Terraria\image_520.png,9,Terraria
data\gameplay-images\Roblox\image_660.png,8,Roblox
data\gameplay-images\Genshin Impact\image_540.png,5,Genshin Impact
data\gameplay-images\Among Us\image_217.png,0,Among Us
data\gameplay-images\Genshin Impact\image_710.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_56.png,7,Minecraft
data\gameplay-images\Forza Horizon\image_385.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_797.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_510.png,4,Free Fire
data\gameplay-images\Apex Legends\image_566.png,1,Apex Legends
data\gameplay-images\Terraria\image_396.png,9,Terraria
data\gameplay-images\Roblox\image_479.png,8,Roblox
data\gameplay-images\Fortnite\image_775.png,2,Fortnite
data\gameplay-images\Minecraft\image_1032.png,7,Minecraft
data\gameplay-images\Forza Horizon\image_369.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_248.png,3,Forza Horizon
data\gameplay-images\Terraria\image_103.png,9,Terraria
data\gameplay-images\Fortnite\image_924.png,2,Fortnite
data\gameplay-images\Roblox\image_793.png,8,Roblox
data\gameplay-images\Among Us\image_693.png,0,Among Us
data\gameplay-images\God of War\image_446.png,6,God of War
data\gameplay-images\Fortnite\image_97.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_870.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_480.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_167.png,7,Minecraft
data\gameplay-images\Minecraft\image_423.png,7,Minecraft
data\gameplay-images\Fortnite\image_61.png,2,Fortnite
data\gameplay-images\Free Fire\image_59.png,4,Free Fire
data\gameplay-images\Among Us\image_858.png,0,Among Us
data\gameplay-images\Forza Horizon\image_226.png,3,Forza Horizon
data\gameplay-images\Fortnite\image_566.png,2,Fortnite
data\gameplay-images\Genshin Impact\image_67.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_198.png,1,Apex Legends
data\gameplay-images\Free Fire\image_844.png,4,Free Fire
data\gameplay-images\Minecraft\image_308.png,7,Minecraft
data\gameplay-images\Roblox\image_8.png,8,Roblox
data\gameplay-images\Minecraft\image_826.png,7,Minecraft
data\gameplay-images\Free Fire\image_250.png,4,Free Fire
data\gameplay-images\Terraria\image_810.png,9,Terraria
data\gameplay-images\God of War\image_554.png,6,God of War
data\gameplay-images\Terraria\image_552.png,9,Terraria
data\gameplay-images\Roblox\image_539.png,8,Roblox
data\gameplay-images\Among Us\image_950.png,0,Among Us
data\gameplay-images\Roblox\image_444.png,8,Roblox
data\gameplay-images\Among Us\image_368.png,0,Among Us
data\gameplay-images\God of War\image_797.png,6,God of War
data\gameplay-images\Free Fire\image_874.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_504.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_374.png,7,Minecraft
data\gameplay-images\God of War\image_65.png,6,God of War
data\gameplay-images\Genshin Impact\image_554.png,5,Genshin Impact
data\gameplay-images\Among Us\image_633.png,0,Among Us
data\gameplay-images\Terraria\image_58.png,9,Terraria
data\gameplay-images\Terraria\image_943.png,9,Terraria
data\gameplay-images\Forza Horizon\image_1005.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_558.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_154.png,5,Genshin Impact
data\gameplay-images\Roblox\image_993.png,8,Roblox
data\gameplay-images\Fortnite\image_536.png,2,Fortnite
data\gameplay-images\Terraria\image_517.png,9,Terraria
data\gameplay-images\Minecraft\image_121.png,7,Minecraft
data\gameplay-images\God of War\image_956.png,6,God of War
data\gameplay-images\Free Fire\image_585.png,4,Free Fire
data\gameplay-images\Fortnite\image_779.png,2,Fortnite
data\gameplay-images\Among Us\image_888.png,0,Among Us
data\gameplay-images\Genshin Impact\image_777.png,5,Genshin Impact
data\gameplay-images\Genshin Impact\image_550.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_586.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_851.png,1,Apex Legends
data\gameplay-images\Fortnite\image_513.png,2,Fortnite
data\gameplay-images\Minecraft\image_962.png,7,Minecraft
data\gameplay-images\Fortnite\image_557.png,2,Fortnite
data\gameplay-images\God of War\image_217.png,6,God of War
data\gameplay-images\Terraria\image_950.png,9,Terraria
data\gameplay-images\Forza Horizon\image_847.png,3,Forza Horizon
data\gameplay-images\Apex Legends\image_296.png,1,Apex Legends
data\gameplay-images\Among Us\image_662.png,0,Among Us
data\gameplay-images\Free Fire\image_485.png,4,Free Fire
data\gameplay-images\Minecraft\image_379.png,7,Minecraft
data\gameplay-images\God of War\image_999.png,6,God of War
data\gameplay-images\Terraria\image_566.png,9,Terraria
data\gameplay-images\Among Us\image_653.png,0,Among Us
data\gameplay-images\Apex Legends\image_206.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_388.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_653.png,5,Genshin Impact
data\gameplay-images\Roblox\image_703.png,8,Roblox
data\gameplay-images\Apex Legends\image_635.png,1,Apex Legends
data\gameplay-images\Terraria\image_191.png,9,Terraria
data\gameplay-images\Minecraft\image_896.png,7,Minecraft
data\gameplay-images\Terraria\image_256.png,9,Terraria
data\gameplay-images\Forza Horizon\image_483.png,3,Forza Horizon
data\gameplay-images\Among Us\image_199.png,0,Among Us
data\gameplay-images\Roblox\image_862.png,8,Roblox
data\gameplay-images\Roblox\image_210.png,8,Roblox
data\gameplay-images\Forza Horizon\image_246.png,3,Forza Horizon
data\gameplay-images\Among Us\image_625.png,0,Among Us
data\gameplay-images\Among Us\image_842.png,0,Among Us
data\gameplay-images\Among Us\image_40.png,0,Among Us
data\gameplay-images\Terraria\image_834.png,9,Terraria
data\gameplay-images\God of War\image_416.png,6,God of War
data\gameplay-images\God of War\image_578.png,6,God of War
data\gameplay-images\Terraria\image_466.png,9,Terraria
data\gameplay-images\Apex Legends\image_590.png,1,Apex Legends
data\gameplay-images\Terraria\image_802.png,9,Terraria
data\gameplay-images\Roblox\image_239.png,8,Roblox
data\gameplay-images\God of War\image_766.png,6,God of War
data\gameplay-images\God of War\image_89.png,6,God of War
data\gameplay-images\Forza Horizon\image_482.png,3,Forza Horizon
data\gameplay-images\Roblox\image_316.png,8,Roblox
data\gameplay-images\Minecraft\image_515.png,7,Minecraft
data\gameplay-images\God of War\image_842.png,6,God of War
data\gameplay-images\God of War\image_967.png,6,God of War
data\gameplay-images\Forza Horizon\image_366.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_9.png,5,Genshin Impact
data\gameplay-images\God of War\image_847.png,6,God of War
data\gameplay-images\Free Fire\image_985.png,4,Free Fire
data\gameplay-images\Minecraft\image_404.png,7,Minecraft
data\gameplay-images\Genshin Impact\image_125.png,5,Genshin Impact
data\gameplay-images\Roblox\image_986.png,8,Roblox
data\gameplay-images\Apex Legends\image_319.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_142.png,5,Genshin Impact
data\gameplay-images\Terraria\image_865.png,9,Terraria
data\gameplay-images\God of War\image_108.png,6,God of War
data\gameplay-images\Roblox\image_63.png,8,Roblox
data\gameplay-images\Apex Legends\image_72.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_606.png,5,Genshin Impact
data\gameplay-images\Terraria\image_675.png,9,Terraria
data\gameplay-images\Fortnite\image_705.png,2,Fortnite
data\gameplay-images\Genshin Impact\image_724.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_796.png,4,Free Fire
data\gameplay-images\God of War\image_239.png,6,God of War
data\gameplay-images\Genshin Impact\image_470.png,5,Genshin Impact
data\gameplay-images\Fortnite\image_441.png,2,Fortnite
data\gameplay-images\God of War\image_944.png,6,God of War
data\gameplay-images\Fortnite\image_144.png,2,Fortnite
data\gameplay-images\Minecraft\image_589.png,7,Minecraft
data\gameplay-images\Roblox\image_919.png,8,Roblox
data\gameplay-images\Fortnite\image_895.png,2,Fortnite
data\gameplay-images\Terraria\image_670.png,9,Terraria
data\gameplay-images\Forza Horizon\image_41.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_41.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_36.png,7,Minecraft
data\gameplay-images\Apex Legends\image_176.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_346.png,5,Genshin Impact
data\gameplay-images\Forza Horizon\image_623.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_991.png,3,Forza Horizon
data\gameplay-images\Among Us\image_768.png,0,Among Us
data\gameplay-images\Apex Legends\image_737.png,1,Apex Legends
data\gameplay-images\Terraria\image_883.png,9,Terraria
data\gameplay-images\Among Us\image_620.png,0,Among Us
data\gameplay-images\Minecraft\image_971.png,7,Minecraft
data\gameplay-images\God of War\image_90.png,6,God of War
data\gameplay-images\Free Fire\image_218.png,4,Free Fire
data\gameplay-images\God of War\image_623.png,6,God of War
data\gameplay-images\Forza Horizon\image_603.png,3,Forza Horizon
data\gameplay-images\God of War\image_284.png,6,God of War
data\gameplay-images\Minecraft\image_114.png,7,Minecraft
data\gameplay-images\Genshin Impact\image_590.png,5,Genshin Impact
data\gameplay-images\Roblox\image_288.png,8,Roblox
data\gameplay-images\Among Us\image_535.png,0,Among Us
data\gameplay-images\Apex Legends\image_218.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_133.png,5,Genshin Impact
data\gameplay-images\Roblox\image_754.png,8,Roblox
data\gameplay-images\Apex Legends\image_153.png,1,Apex Legends
data\gameplay-images\Roblox\image_318.png,8,Roblox
data\gameplay-images\Genshin Impact\image_926.png,5,Genshin Impact
data\gameplay-images\Terraria\image_456.png,9,Terraria
data\gameplay-images\Forza Horizon\image_455.png,3,Forza Horizon
data\gameplay-images\Among Us\image_623.png,0,Among Us
data\gameplay-images\Free Fire\image_684.png,4,Free Fire
data\gameplay-images\Among Us\image_921.png,0,Among Us
data\gameplay-images\Forza Horizon\image_74.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_821.png,7,Minecraft
data\gameplay-images\God of War\image_380.png,6,God of War
data\gameplay-images\God of War\image_254.png,6,God of War
data\gameplay-images\Fortnite\image_313.png,2,Fortnite
data\gameplay-images\Apex Legends\image_609.png,1,Apex Legends
data\gameplay-images\Fortnite\image_609.png,2,Fortnite
data\gameplay-images\Roblox\image_488.png,8,Roblox
data\gameplay-images\Among Us\image_334.png,0,Among Us
data\gameplay-images\Roblox\image_721.png,8,Roblox
data\gameplay-images\Terraria\image_343.png,9,Terraria
data\gameplay-images\Apex Legends\image_967.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_923.png,5,Genshin Impact
data\gameplay-images\Fortnite\image_395.png,2,Fortnite
data\gameplay-images\Among Us\image_874.png,0,Among Us
data\gameplay-images\Genshin Impact\image_694.png,5,Genshin Impact
data\gameplay-images\God of War\image_206.png,6,God of War
data\gameplay-images\Free Fire\image_80.png,4,Free Fire
data\gameplay-images\Apex Legends\image_432.png,1,Apex Legends
data\gameplay-images\Roblox\image_568.png,8,Roblox
data\gameplay-images\Minecraft\image_901.png,7,Minecraft
data\gameplay-images\Free Fire\image_421.png,4,Free Fire
data\gameplay-images\Terraria\image_197.png,9,Terraria
data\gameplay-images\Forza Horizon\image_77.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_939.png,4,Free Fire
data\gameplay-images\Free Fire\image_556.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_1003.png,3,Forza Horizon
data\gameplay-images\Terraria\image_755.png,9,Terraria
data\gameplay-images\Terraria\image_700.png,9,Terraria
data\gameplay-images\Terraria\image_586.png,9,Terraria
data\gameplay-images\Genshin Impact\image_751.png,5,Genshin Impact
data\gameplay-images\Among Us\image_134.png,0,Among Us
data\gameplay-images\Free Fire\image_655.png,4,Free Fire
data\gameplay-images\Minecraft\image_93.png,7,Minecraft
data\gameplay-images\Minecraft\image_964.png,7,Minecraft
data\gameplay-images\Among Us\image_88.png,0,Among Us
data\gameplay-images\Free Fire\image_530.png,4,Free Fire
data\gameplay-images\Terraria\image_703.png,9,Terraria
data\gameplay-images\Forza Horizon\image_165.png,3,Forza Horizon
data\gameplay-images\Fortnite\image_245.png,2,Fortnite
data\gameplay-images\Minecraft\image_465.png,7,Minecraft
data\gameplay-images\Forza Horizon\image_231.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_129.png,7,Minecraft
data\gameplay-images\Roblox\image_666.png,8,Roblox
data\gameplay-images\Among Us\image_370.png,0,Among Us
data\gameplay-images\Genshin Impact\image_963.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_381.png,4,Free Fire
data\gameplay-images\Free Fire\image_306.png,4,Free Fire
data\gameplay-images\God of War\image_539.png,6,God of War
data\gameplay-images\God of War\image_274.png,6,God of War
data\gameplay-images\Fortnite\image_251.png,2,Fortnite
data\gameplay-images\God of War\image_22.png,6,God of War
data\gameplay-images\Genshin Impact\image_870.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_266.png,7,Minecraft
data\gameplay-images\Terraria\image_530.png,9,Terraria
data\gameplay-images\Among Us\image_643.png,0,Among Us
data\gameplay-images\God of War\image_820.png,6,God of War
data\gameplay-images\God of War\image_848.png,6,God of War
data\gameplay-images\Forza Horizon\image_1024.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_120.png,4,Free Fire
data\gameplay-images\God of War\image_668.png,6,God of War
data\gameplay-images\Fortnite\image_50.png,2,Fortnite
data\gameplay-images\Fortnite\image_51.png,2,Fortnite
data\gameplay-images\Among Us\image_216.png,0,Among Us
data\gameplay-images\Apex Legends\image_16.png,1,Apex Legends
data\gameplay-images\Forza Horizon\image_979.png,3,Forza Horizon
data\gameplay-images\Fortnite\image_941.png,2,Fortnite
data\gameplay-images\God of War\image_223.png,6,God of War
data\gameplay-images\Genshin Impact\image_201.png,5,Genshin Impact
data\gameplay-images\Fortnite\image_304.png,2,Fortnite
data\gameplay-images\Minecraft\image_63.png,7,Minecraft
data\gameplay-images\God of War\image_767.png,6,God of War
data\gameplay-images\Fortnite\image_184.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_560.png,3,Forza Horizon
data\gameplay-images\Terraria\image_731.png,9,Terraria
data\gameplay-images\Among Us\image_457.png,0,Among Us
data\gameplay-images\Apex Legends\image_641.png,1,Apex Legends
data\gameplay-images\Minecraft\image_194.png,7,Minecraft
data\gameplay-images\Minecraft\image_796.png,7,Minecraft
data\gameplay-images\Free Fire\image_837.png,4,Free Fire
data\gameplay-images\Free Fire\image_977.png,4,Free Fire
data\gameplay-images\God of War\image_493.png,6,God of War
data\gameplay-images\God of War\image_113.png,6,God of War
data\gameplay-images\Free Fire\image_221.png,4,Free Fire
data\gameplay-images\Fortnite\image_716.png,2,Fortnite
data\gameplay-images\Among Us\image_784.png,0,Among Us
data\gameplay-images\Minecraft\image_771.png,7,Minecraft
data\gameplay-images\Forza Horizon\image_22.png,3,Forza Horizon
data\gameplay-images\Fortnite\image_707.png,2,Fortnite
data\gameplay-images\Minecraft\image_326.png,7,Minecraft
data\gameplay-images\Among Us\image_386.png,0,Among Us
data\gameplay-images\Roblox\image_892.png,8,Roblox
data\gameplay-images\Roblox\image_717.png,8,Roblox
data\gameplay-images\Free Fire\image_26.png,4,Free Fire
data\gameplay-images\God of War\image_397.png,6,God of War
data\gameplay-images\Roblox\image_638.png,8,Roblox
data\gameplay-images\Minecraft\image_658.png,7,Minecraft
data\gameplay-images\Fortnite\image_201.png,2,Fortnite
data\gameplay-images\Minecraft\image_185.png,7,Minecraft
data\gameplay-images\Genshin Impact\image_754.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_911.png,7,Minecraft
data\gameplay-images\Forza Horizon\image_79.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_775.png,5,Genshin Impact
data\gameplay-images\Genshin Impact\image_63.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_824.png,4,Free Fire
data\gameplay-images\Roblox\image_57.png,8,Roblox
data\gameplay-images\Among Us\image_480.png,0,Among Us
data\gameplay-images\God of War\image_679.png,6,God of War
data\gameplay-images\God of War\image_627.png,6,God of War
data\gameplay-images\Genshin Impact\image_206.png,5,Genshin Impact
data\gameplay-images\Among Us\image_944.png,0,Among Us
data\gameplay-images\God of War\image_560.png,6,God of War
data\gameplay-images\Minecraft\image_454.png,7,Minecraft
data\gameplay-images\Terraria\image_300.png,9,Terraria
data\gameplay-images\Terraria\image_151.png,9,Terraria
data\gameplay-images\Terraria\image_91.png,9,Terraria
data\gameplay-images\Roblox\image_798.png,8,Roblox
data\gameplay-images\Apex Legends\image_155.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_935.png,5,Genshin Impact
data\gameplay-images\God of War\image_105.png,6,God of War
data\gameplay-images\Minecraft\image_661.png,7,Minecraft
data\gameplay-images\Minecraft\image_1021.png,7,Minecraft
data\gameplay-images\Apex Legends\image_382.png,1,Apex Legends
data\gameplay-images\Terraria\image_386.png,9,Terraria
data\gameplay-images\Genshin Impact\image_1003.png,5,Genshin Impact
data\gameplay-images\Terraria\image_619.png,9,Terraria
data\gameplay-images\Minecraft\image_643.png,7,Minecraft
data\gameplay-images\God of War\image_180.png,6,God of War
data\gameplay-images\Apex Legends\image_933.png,1,Apex Legends
data\gameplay-images\Among Us\image_851.png,0,Among Us
data\gameplay-images\Terraria\image_821.png,9,Terraria
data\gameplay-images\God of War\image_1023.png,6,God of War
